13,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0.168,0.166,0.169,0.169,0.165,0.168,0.167,0.168,0.167,0.166,6.668,6.628,6.621,6.641,6.618,6.612,6.632,6.638,6.647,6.644,0.169,0.167,0.169,0.17,0.165,0.168,0.169,0.169,0.167,0.168,0.169,0.166,0.17,0.17,0.167,0.169,0.169,0.169,0.168,0.166
14,0.001,0,0.001,0,0,0,0,0.001,0,0,0.181,0.179,0.182,-0.818,0.178,0.181,0.18,0.181,0.179,0.18,7.246,7.147,7.143,8.139,7.139,7.148,7.164,7.153,7.157,7.171,0.18,0.179,0.182,0.182,0.178,0.182,0.182,0.182,0.18,0.18,0.179,0.18,0.183,0.182,0.179,0.182,0.182,0.182,0.181,0.18
15,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.191,0.192,0.194,0.195,0.191,0.194,0.195,0.194,0.192,0.192,7.708,7.656,7.652,7.659,7.637,7.651,7.641,7.656,7.652,7.657,0.192,0.192,0.195,0.196,0.191,0.194,0.195,0.195,0.193,0.192,0.193,0.193,0.195,0.196,0.191,0.195,0.196,0.195,0.194,0.192
16,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.203,0.205,0.208,0.208,0.203,0.207,0.207,0.208,0.206,0.205,8.26,8.174,8.144,8.175,8.152,8.15,8.172,8.169,8.166,8.164,0.206,0.205,0.207,0.209,0.203,0.208,0.207,0.208,0.205,0.206,0.207,0.206,0.208,0.208,0.204,0.208,0.208,0.208,0.205,0.206
17,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.219,0.218,0.222,0.221,0.216,0.219,0.22,0.22,0.219,0.218,8.784,8.678,8.657,8.678,8.665,8.656,8.656,8.702,8.679,8.665,0.22,0.218,0.22,0.221,0.217,0.22,0.22,0.221,0.219,0.218,0.22,0.219,0.22,0.222,0.217,0.22,0.222,0.221,0.219,0.218
18,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0.001,0.232,0.231,0.233,0.234,0.23,0.232,0.233,0.233,0.231,0.231,9.189,9.189,9.193,9.205,9.164,9.175,9.183,9.185,9.175,9.192,0.232,0.231,0.234,0.235,0.229,0.233,0.234,0.233,0.231,0.231,0.233,0.231,0.234,0.235,0.231,0.233,0.233,0.234,0.231,0.231
19,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.245,0.243,0.246,0.246,0.242,0.246,0.246,0.246,0.244,0.244,9.698,9.687,9.681,9.693,9.705,9.673,9.682,9.697,9.683,9.71,0.247,0.243,0.244,0.247,0.241,0.247,0.246,0.247,0.244,0.244,0.247,0.244,0.244,0.248,0.241,0.246,0.247,0.248,0.245,0.244
20,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.259,0.257,0.256,0.261,0.254,0.258,0.26,0.26,0.258,0.256,10.199,10.222,10.191,10.216,10.21,10.188,10.186,10.202,10.195,10.213,0.259,0.256,0.257,0.26,0.254,0.257,0.259,0.26,0.257,0.256,0.259,0.257,0.256,0.26,0.255,0.257,0.26,0.26,0.258,0.257
21,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.272,0.269,0.268,0.272,0.266,0.269,0.272,0.272,0.27,0.27,10.724,10.726,10.707,10.716,10.691,10.695,10.706,10.723,10.727,10.707,0.271,0.269,0.27,0.273,0.267,0.269,0.273,0.273,0.27,0.269,0.272,0.27,0.27,0.274,0.267,0.27,0.274,0.273,0.271,0.269
22,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.284,0.282,0.282,0.286,0.279,0.281,0.285,0.285,0.283,0.282,11.224,11.233,11.212,11.23,11.218,11.193,11.227,11.219,11.219,11.266,0.285,0.283,0.283,0.286,0.279,0.282,0.286,0.285,0.284,0.282,0.286,0.282,0.282,0.286,0.281,0.282,0.286,0.285,0.284,0.282
23,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.298,0.294,0.294,0.298,0.292,0.293,0.299,0.297,0.295,0.295,11.756,11.74,11.709,11.746,11.715,11.698,11.738,11.737,11.75,11.73,0.298,0.289,0.295,0.3,0.292,0.294,0.297,0.297,0.296,0.295,0.299,0.295,0.296,0.3,0.293,0.294,0.297,0.298,0.296,0.296
24,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.312,0.308,0.307,0.311,0.304,0.307,0.311,0.311,0.308,0.308,12.245,12.237,12.221,12.269,12.291,12.202,12.226,12.252,12.266,12.251,0.312,0.308,0.307,0.312,0.307,0.307,0.309,0.312,0.308,0.309,0.311,0.308,0.308,0.313,0.306,0.308,0.31,0.312,0.31,0.31
25,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.323,0.32,0.32,0.326,0.318,0.32,0.323,0.324,0.321,0.321,12.786,12.771,12.737,12.749,12.801,12.733,12.74,12.755,12.748,12.769,0.324,0.32,0.32,0.327,0.318,0.32,0.324,0.324,0.322,0.323,0.325,0.321,0.321,0.327,0.318,0.32,0.325,0.324,0.322,0.322
26,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.338,0.333,0.333,0.338,0.33,0.333,0.336,0.336,0.334,0.334,13.278,13.339,13.233,13.267,13.269,13.229,13.25,13.308,13.278,13.288,0.337,0.336,0.334,0.339,0.33,0.333,0.337,0.336,0.334,0.334,0.338,0.338,0.334,0.339,0.331,0.334,0.338,0.336,0.335,0.335
